순위,광역시/도,시/군/구,관광지명,중분류 카테고리,소분류 카테고리,검색건수
31,경기도,포천시,송우시외버스터미널,기타관광,교통시설,2009
32,경기도,포천시,한탄강주상절리길1코스,레저스포츠,기타레저스포츠,2000
33,경기도,포천시,락가든GC,레저스포츠,육상레저스포츠,1978
34,경기도,포천시,한탄강지질공원센터,문화관광,전시시설,1858
35,경기도,포천시,포천반월아트홀,문화관광,공연시설,1679
36,경기도,포천시,산사원,문화관광,전시시설,1646
37,경기도,포천시,포천축구공원,문화관광,도시공원,1554
38,경기도,포천시,명성산억새밭,기타관광,기타관광,1505
39,경기도,포천시,운악산자연휴양림,자연관광,자연공원,1456
40,경기도,포천시,예술정원1999자연예술테마파크,문화관광,테마공원,1429
41,경기도,포천시,포천시외버스터미널,기타관광,교통시설,1281
42,경기도,포천시,가산낚시터,레저스포츠,수상레저스포츠,1230
43,경기도,포천시,동교낚시터,레저스포츠,수상레저스포츠,1193
44,경기도,포천시,베어스타운스키장휴업,레저스포츠,육상레저스포츠,1186
45,경기도,포천시,축석고개,자연관광,자연경관(산),1167
46,경기도,포천시,포천5일장,쇼핑,시장,1131
47,경기도,포천시,포천아도니스퍼블릭CC,레저스포츠,육상레저스포츠,1055
48,경기도,포천시,마전낚시터,레저스포츠,수상레저스포츠,951
49,경기도,포천시,초원낚시터,레저스포츠,수상레저스포츠,942
50,경기도,포천시,밤밭낚시터,레저스포츠,수상레저스포츠,928
51,경기도,포천시,포천화적연,자연관광,자연경관(하천/해양),902
52,경기도,포천시,한여울파크골프장건축중(2026년03월 개장예정),레저스포츠,육상레저스포츠,870
53,경기도,포천시,천보산자연휴양림,자연관광,자연공원,842
54,경기도,포천시,수목원고모호수공원,문화관광,도시공원,803
55,경기도,포천시,내촌낚시터,레저스포츠,수상레저스포츠,772
56,경기도,포천시,도성사,역사관광,종교성지,748
57,경기도,포천시,어메이징파크,문화관광,전시시설,737
58,경기도,포천시,호국금강사,역사관광,종교성지,728
59,경기도,포천시,소흘생활체육공원,문화관광,도시공원,669
60,경기도,포천시,쌍방죽낚시터,레저스포츠,수상레저스포츠,637
61,경기도,포천시,주파크,문화관광,테마공원,618
62,경기도,포천시,가산저수지,자연관광,자연경관(하천/해양),616
63,경기도,포천시,청성역사공원,문화관광,도시공원,520
64,경기도,포천시,가람누리문화공원전망대,문화관광,랜드마크관광,497
65,경기도,포천시,황금낚시터,레저스포츠,수상레저스포츠,495
66,경기도,포천시,포천수원산정상전망대,문화관광,랜드마크관광,465
67,경기도,포천시,깊이울유원지,문화관광,복합관광시설,448
68,경기도,포천시,낭만닥터김사부촬영지,문화관광,기타문화관광지,429
69,경기도,포천시,청계호수,자연관광,자연경관(하천/해양),419
70,경기도,포천시,냉정저수지,자연관광,자연경관(하천/해양),412
71,경기도,포천시,포천종합운동장보조구장,문화관광,레저스포츠시설,409
72,경기도,포천시,광암이벽유적지,역사관광,역사유적지,394
73,경기도,포천시,왕산사,역사관광,종교성지,392
74,경기도,포천시,용담대물낚시터,레저스포츠,수상레저스포츠,382
75,경기도,포천시,한화리조트산정호수온천,체험관광,웰니스관광,372
76,경기도,포천시,국망봉자연휴양림,자연관광,자연공원,368
77,경기도,포천시,직두리낚시터,레저스포츠,수상레저스포츠,358
78,경기도,포천시,산정호수명성산억새꽃축제,문화관광,기타문화관광지,357
79,경기도,포천시,운천재래시장,쇼핑,시장,343
80,경기도,포천시,아프리카예술박물관,문화관광,전시시설,341
81,경기도,포천시,화현이벽성지,역사관광,역사유적지,340
82,경기도,포천시,허브아일랜드핑크뮬리페스티벌,문화관광,기타문화관광지,331
83,경기도,포천시,길명낚시공원,레저스포츠,수상레저스포츠,307
84,경기도,포천시,구담사,역사관광,종교성지,297
85,경기도,포천시,산정호수조각공원,문화관광,도시공원,289
86,경기도,포천시,송우공설시장,쇼핑,시장,287
87,경기도,포천시,금주낚시터,레저스포츠,수상레저스포츠,284
88,경기도,포천시,새마을낚시터,레저스포츠,수상레저스포츠,263
89,경기도,포천시,가람누리문화공원,문화관광,도시공원,249
90,경기도,포천시,명성산,자연관광,자연경관(산),248
91,경기도,포천시,자인사,역사관광,종교성지,234
92,경기도,포천시,금주저수지,자연관광,자연경관(하천/해양),231
93,경기도,포천시,가농바이오농장,체험관광,농/산/어촌체험,222
94,경기도,포천시,고일낚시터,레저스포츠,수상레저스포츠,220
94,경기도,포천시,포천가구공단,쇼핑,기타쇼핑시설,220
96,경기도,포천시,포천하늘아래치유의숲,기타관광,기타관광,214
97,경기도,포천시,아침햇살청소년수련원,레저스포츠,육상레저스포츠,205
98,경기도,포천시,설운체육공원,문화관광,도시공원,204
99,경기도,포천시,포천파크골프장,레저스포츠,기타레저스포츠,199
100,경기도,포천시,포천신읍시장,쇼핑,시장,198
101,경기도,포천시,천주호,자연관광,자연경관(하천/해양),196
102,경기도,포천시,무네미낚시터,레저스포츠,수상레저스포츠,193
103,경기도,포천시,신안농장,체험관광,농/산/어촌체험,192
104,경기도,포천시,운천,기타관광,기타관광,188
105,경기도,포천시,포천체육공원,문화관광,도시공원,185
106,경기도,포천시,포천38문화예술창작소,문화관광,기타문화관광지,177
107,경기도,포천시,포천야구장,문화관광,레저스포츠시설,175
108,경기도,포천시,허브아일랜드불빛동화축제,문화관광,기타문화관광지,173
109,경기도,포천시,한탄강야생화공원,문화관광,도시공원,163
110,경기도,포천시,멍우리협곡,자연관광,자연경관(산),155
111,경기도,포천시,운천낚시공원,레저스포츠,수상레저스포츠,152
112,경기도,포천시,한탄강주상절리길3코스,레저스포츠,기타레저스포츠,140
113,경기도,포천시,한과문화박물관,문화관광,전시시설,138
113,경기도,포천시,흥룡사,역사관광,종교성지,138
113,경기도,포천시,포천패션타운,쇼핑,쇼핑몰,138
116,경기도,포천시,포천스포츠센터,레저스포츠,기타레저스포츠,126
117,경기도,포천시,왕달아포도농원,체험관광,농/산/어촌체험,124
118,경기도,포천시,국립산림박물관,문화관광,전시시설,121
119,경기도,포천시,포천시 관인면 교동장독대마을,역사관광,역사유적지,115
119,경기도,포천시,호스랜드승마클럽,레저스포츠,육상레저스포츠,115
121,경기도,포천시,미륵사,역사관광,종교성지,114
121,경기도,포천시,태국군참전비,역사관광,역사유물,114
121,경기도,포천시,산정랜드,문화관광,복합관광시설,114
124,경기도,포천시,약천사,역사관광,종교성지,110
125,경기도,포천시,소흘생활체육공원인공암벽장,레저스포츠,기타레저스포츠,108
126,경기도,포천시,황새목낚시터,레저스포츠,수상레저스포츠,107
127,경기도,포천시,코버월드,문화관광,전시시설,103
128,경기도,포천시,포천자동차극장,문화관광,공연시설,102
128,경기도,포천시,클라우드시네마,문화관광,공연시설,102
130,경기도,포천시,갈월버섯농장,체험관광,농/산/어촌체험,101
131,경기도,포천시,관음사,역사관광,종교성지,99
132,경기도,포천시,충목단,역사관광,역사유적지,98
133,경기도,포천시,포천염광수련원,레저스포츠,육상레저스포츠,94
134,경기도,포천시,포천운산리자연생태공원,문화관광,도시공원,93
135,경기도,포천시,모돈갤러리,문화관광,전시시설,92
135,경기도,포천시,나남수목원,자연관광,자연공원,92
137,경기도,포천시,청계저수지수변공원,문화관광,도시공원,84
137,경기도,포천시,이항복선생묘,역사관광,역사유적지,84
137,경기도,포천시,일동시장,쇼핑,시장,84
140,경기도,포천시,한탄강주상절리길2코스,레저스포츠,기타레저스포츠,82
140,경기도,포천시,승법사,역사관광,종교성지,82
142,경기도,포천시,화엄사,역사관광,종교성지,81
142,경기도,포천시,포천아트밸리천문과학관,문화관광,전시시설,81
144,경기도,포천시,한탄강팔호유원지,문화관광,복합관광시설,78
144,경기도,포천시,태산낚시터,레저스포츠,수상레저스포츠,78
146,경기도,포천시,백로주유원지,문화관광,복합관광시설,77
146,경기도,포천시,교동가마소,기타관광,기타관광,77
148,경기도,포천시,깊이울저수지,자연관광,자연경관(하천/해양),75
149,경기도,포천시,소흘아이사랑놀이터,문화관광,테마공원,74
150,경기도,포천시,포천목공체험장,문화관광,기타문화관광지,72
151,경기도,포천시,지장산계곡,자연관광,자연경관(산),69
152,경기도,포천시,몽글몽글팜,체험관광,농/산/어촌체험,67
153,경기도,포천시,한탄강테마파크,문화관광,테마공원,64
154,경기도,포천시,한탄강주상절리길5코스,레저스포츠,기타레저스포츠,63
154,경기도,포천시,레이크밸리 승마클럽,레저스포츠,기타레저스포츠,63
156,경기도,포천시,지청낚시터,레저스포츠,수상레저스포츠,61
157,경기도,포천시,대안사,역사관광,종교성지,60
158,경기도,포천시,어하고개,자연관광,자연경관(산),57
158,경기도,포천시,송일농장,체험관광,농/산/어촌체험,57
160,경기도,포천시,천해사,역사관광,종교성지,55
161,경기도,포천시,부소천교,기타관광,기타관광,54
161,경기도,포천시,태봉근린공원,문화관광,도시공원,54
161,경기도,포천시,향림사,역사관광,종교성지,54
164,경기도,포천시,무림사,역사관광,종교성지,50
165,경기도,포천시,복후미저수지,자연관광,자연경관(하천/해양),49
166,경기도,포천시,관인문화마을,기타관광,기타관광,48
166,경기도,포천시,이동생태공원,문화관광,도시공원,48
168,경기도,포천시,메향낚시터,레저스포츠,수상레저스포츠,47
168,경기도,포천시,천주사,역사관광,종교성지,47
170,경기도,포천시,수원산,자연관광,자연경관(산),46
171,경기도,포천시,넉고개포도농원,체험관광,농/산/어촌체험,44
172,경기도,포천시,자비사,역사관광,종교성지,43
172,경기도,포천시,소흘생활체육공원제1축구장,문화관광,레저스포츠시설,43
172,경기도,포천시,국봉사,역사관광,종교성지,43
175,경기도,포천시,금룡사,역사관광,종교성지,41
176,경기도,포천시,포천미래교육센터,체험관광,체험관광기타,39
176,경기도,포천시,일동문화예술창고,문화관광,기타문화관광지,39
176,경기도,포천시,청계산,자연관광,자연경관(산),39
176,경기도,포천시,명성산산안고개방면,자연관광,자연경관(산),39
176,경기도,포천시,왕방산,자연관광,자연경관(산),39
181,경기도,포천시,이룬절,역사관광,종교성지,38
181,경기도,포천시,반디농장,체험관광,농/산/어촌체험,38
181,경기도,포천시,청한베이스볼파크,문화관광,레저스포츠시설,38
181,경기도,포천시,동교하우스낚시터,레저스포츠,수상레저스포츠,38
185,경기도,포천시,청솔농원,체험관광,농/산/어촌체험,37
185,경기도,포천시,포천제2하늘다리,기타관광,기타관광,37
185,경기도,포천시,백운산,자연관광,자연경관(산),37
188,경기도,포천시,한탄강수변공원,문화관광,도시공원,36
188,경기도,포천시,마홀축구장,문화관광,레저스포츠시설,36
188,경기도,포천시,미륵박물관,문화관광,전시시설,36
188,경기도,포천시,도평리터미널,기타관광,교통시설,36
192,경기도,포천시,소흘생활체육공원제2축구장,문화관광,레저스포츠시설,35
192,경기도,포천시,소야사과농장,체험관광,농/산/어촌체험,35
194,경기도,포천시,왕방공원,문화관광,도시공원,34
194,경기도,포천시,전운사,역사관광,종교성지,34
194,경기도,포천시,동화사,역사관광,종교성지,34
194,경기도,포천시,옥병서원,역사관광,역사유적지,34
198,경기도,포천시,산안고개,자연관광,자연경관(산),33
198,경기도,포천시,포천직두리의부부송,역사관광,역사유적지,33
198,경기도,포천시,포천반월성,역사관광,역사유적지,33
198,경기도,포천시,Y스포츠센터,레저스포츠,기타레저스포츠,33
202,경기도,포천시,극락사,역사관광,종교성지,32
202,경기도,포천시,송광사,역사관광,종교성지,32
204,경기도,포천시,용연서원,역사관광,역사유적지,31
205,경기도,포천시,초계목장,체험관광,농/산/어촌체험,30
205,경기도,포천시,성불암,역사관광,종교성지,30
205,경기도,포천시,중리저수지,자연관광,자연경관(하천/해양),30
205,경기도,포천시,가온농장,체험관광,농/산/어촌체험,30
209,경기도,포천시,통일대,기타관광,기타관광,29
210,경기도,포천시,아딸농원,체험관광,농/산/어촌체험,28
210,경기도,포천시,기산근린공원,문화관광,도시공원,28
210,경기도,포천시,포천용담저수지,자연관광,자연경관(하천/해양),28
213,경기도,포천시,본선사,역사관광,종교성지,27
213,경기도,포천시,동부정,레저스포츠,육상레저스포츠,27
213,경기도,포천시,능원관광낚시터,레저스포츠,수상레저스포츠,27
213,경기도,포천시,각흘산,자연관광,자연경관(산),27
217,경기도,포천시,기원정사,역사관광,종교성지,26
217,경기도,포천시,포천시 일동면 길명3리,역사관광,역사유적지,26
217,경기도,포천시,금수정,역사관광,역사유적지,26
217,경기도,포천시,금불사,역사관광,종교성지,26
221,경기도,포천시,천궁사,역사관광,종교성지,25
221,경기도,포천시,털보낚시터,레저스포츠,수상레저스포츠,25
221,경기도,포천시,키즈필포천송우점,문화관광,테마공원,25
224,경기도,포천시,건플레이,레저스포츠,기타레저스포츠,24
224,경기도,포천시,보현사,역사관광,종교성지,24
224,경기도,포천시,포천운악산단풍축제,문화관광,기타문화관광지,24
227,경기도,포천시,이동정류소,기타관광,교통시설,23
227,경기도,포천시,지질트레일1코스,레저스포츠,기타레저스포츠,23
227,경기도,포천시,향적사,역사관광,종교성지,23
230,경기도,포천시,수목원프로방스,자연관광,자연공원,22
230,경기도,포천시,백운계곡국민관광지,문화관광,복합관광시설,22
232,경기도,포천시,포천허브아일랜드 자동차극장,문화관광,공연시설,21
232,경기도,포천시,영평천,자연관광,자연공원,21
232,경기도,포천시,독수리유격대전적비,역사관광,역사유물,21
232,경기도,포천시,성불사,역사관광,종교성지,21
236,경기도,포천시,채소한의식탁,체험관광,농/산/어촌체험,20
236,경기도,포천시,황제다육식물농장,체험관광,농/산/어촌체험,20
238,경기도,포천시,포천시 영북면 육호마을,역사관광,역사유적지,19
238,경기도,포천시,보문정사,역사관광,종교성지,19
240,경기도,포천시,페리아도워터파크,문화관광,테마공원,18
240,경기도,포천시,포천음악창작소,문화관광,기타문화관광지,18
242,경기도,포천시,교동사과농장,체험관광,농/산/어촌체험,17
242,경기도,포천시,광릉분재예술공원,문화관광,도시공원,17
242,경기도,포천시,솔모루공원,문화관광,도시공원,17
242,경기도,포천시,한탄강대교천현무암협곡,기타관광,기타관광,17
246,경기도,포천시,대진대학교과학영재교육원,체험관광,체험관광기타,16
246,경기도,포천시,법왕사,역사관광,종교성지,16
246,경기도,포천시,도리돌문화교류센터,레저스포츠,기타레저스포츠,16
246,경기도,포천시,만덕사,역사관광,종교성지,16
250,경기도,포천시,뿌리굿당,역사관광,종교성지,15
250,경기도,포천시,아리솔청소년체육광장,문화관광,도시공원,15
250,경기도,포천시,포천시 신북면 계류2리,역사관광,역사유적지,15
250,경기도,포천시,포천시 신북면 지동산촌마을,역사관광,역사유적지,15
250,경기도,포천시,냉정낚시터,레저스포츠,수상레저스포츠,15
250,경기도,포천시,직동낚시터,레저스포츠,수상레저스포츠,15
250,경기도,포천시,선광사,역사관광,종교성지,15
250,경기도,포천시,포천향교,역사관광,역사유적지,15
250,경기도,포천시,평화나무농장,체험관광,농/산/어촌체험,15
250,경기도,포천시,천은사,역사관광,종교성지,15
260,경기도,포천시,이항복선생기념관,문화관광,전시시설,14
261,경기도,포천시,신읍동도시재생어울림센터2,문화관광,기타문화관광지,13
261,경기도,포천시,낙천지폭포,자연관광,자연경관(산),13
261,경기도,포천시,신북메가필드,레저스포츠,육상레저스포츠,13
261,경기도,포천시,경기옛길경흥길제4길,레저스포츠,기타레저스포츠,13
261,경기도,포천시,초가낚시터,레저스포츠,수상레저스포츠,13
261,경기도,포천시,토우공방,체험관광,공예체험,13
261,경기도,포천시,제이에이치캠퍼,레저스포츠,기타레저스포츠,13
268,경기도,포천시,도마치계곡유원지,문화관광,복합관광시설,12
268,경기도,포천시,포천시어린이정원어린이놀이터,문화관광,테마공원,12
268,경기도,포천시,청계산약수터,자연관광,자연경관(산),12
268,경기도,포천시,도마치계곡,자연관광,자연경관(산),12
268,경기도,포천시,화현저수지,자연관광,자연경관(하천/해양),12
273,경기도,포천시,자이언트복싱짐,레저스포츠,기타레저스포츠,11
273,경기도,포천시,대수암,역사관광,종교성지,11
273,경기도,포천시,포천무형유산전수교육관,체험관광,체험관광기타,11
273,경기도,포천시,황금프라자,쇼핑,쇼핑몰,11
273,경기도,포천시,백사이항복기념관,문화관광,전시시설,11
273,경기도,포천시,쌍불사,역사관광,종교성지,11
273,경기도,포천시,수원사,역사관광,종교성지,11
273,경기도,포천시,정혜사,역사관광,종교성지,11
273,경기도,포천시,포천블루파크,문화관광,테마공원,11
273,경기도,포천시,한탄임진강지질공원,문화관광,도시공원,11
273,경기도,포천시,우드발레타,체험관광,공예체험,11
273,경기도,포천시,육사생도6.25참전기념비,역사관광,역사유물,11
285,경기도,포천시,포천시 군내면 논배마을,역사관광,역사유적지,10
285,경기도,포천시,베스트원스포츠,레저스포츠,기타레저스포츠,10
285,경기도,포천시,한탄강주상절리길4코스,레저스포츠,기타레저스포츠,10
285,경기도,포천시,소우주도자기공방,체험관광,공예체험,10
285,경기도,포천시,프로방스빌리지수영장,문화관광,테마공원,10
285,경기도,포천시,유식물원,문화관광,테마공원,10
285,경기도,포천시,내리공설시장,쇼핑,시장,10
285,경기도,포천시,무림포도농원,체험관광,농/산/어촌체험,10
285,경기도,포천시,포천탁구장,레저스포츠,기타레저스포츠,10
285,경기도,포천시,하심곡,자연관광,자연경관(하천/해양),10
285,경기도,포천시,지동산촌잣나무목공예실,기타관광,기타관광,10
285,경기도,포천시,예랑농원,체험관광,농/산/어촌체험,10
297,경기도,포천시,봉운사,역사관광,종교성지,9
297,경기도,포천시,대한불교조계종정변지사,역사관광,종교성지,9
299,경기도,포천시,법천사,역사관광,종교성지,8
299,경기도,포천시,금주산,자연관광,자연경관(산),8
299,경기도,포천시,참진사과,체험관광,농/산/어촌체험,8
299,경기도,포천시,포테톨리스튜디오,체험관광,공예체험,8
299,경기도,포천시,한빛농장,체험관광,농/산/어촌체험,8
299,경기도,포천시,고모지,자연관광,자연경관(하천/해양),8
299,경기도,포천시,중리테마파크낚시터,레저스포츠,수상레저스포츠,8
299,경기도,포천시,영천목장,체험관광,농/산/어촌체험,8
299,경기도,포천시,용주암,역사관광,종교성지,8
308,경기도,포천시,무상사,역사관광,종교성지,7
308,경기도,포천시,대한드론교육원,체험관광,체험관광기타,7
308,경기도,포천시,구암정사,역사관광,종교성지,7
308,경기도,포천시,추동저수지낚시터,레저스포츠,수상레저스포츠,7
308,경기도,포천시,인평대군묘및신도비,역사관광,역사유적지,7
308,경기도,포천시,포천시 관인면 숯골마을,역사관광,역사유적지,7
308,경기도,포천시,운악레저타운,레저스포츠,기타레저스포츠,7
308,경기도,포천시,양문공설시장,쇼핑,시장,7
308,경기도,포천시,산정호수관광지3매표소,기타관광,기타관광,7
308,경기도,포천시,깊이울낚시터,레저스포츠,수상레저스포츠,7
308,경기도,포천시,법광사,역사관광,종교성지,7
308,경기도,포천시,보광사,역사관광,종교성지,7
308,경기도,포천시,향원재,역사관광,역사유적지,7
308,경기도,포천시,육림호,자연관광,자연경관(하천/해양),7
322,경기도,포천시,정서네포도농원,체험관광,농/산/어촌체험,6
322,경기도,포천시,도마치고개,자연관광,자연경관(산),6
322,경기도,포천시,포천소민농장,체험관광,농/산/어촌체험,6
322,경기도,포천시,서성선생묘,역사관광,역사유적지,6
322,경기도,포천시,오드리다육,체험관광,농/산/어촌체험,6
322,경기도,포천시,준수산,체험관광,농/산/어촌체험,6
322,경기도,포천시,상현네포도농원,체험관광,농/산/어촌체험,6
322,경기도,포천시,관인공설시장,쇼핑,시장,6
322,경기도,포천시,운악산포천운주사방면,자연관광,자연경관(산),6
322,경기도,포천시,산정호수관광단지,문화관광,복합관광시설,6
322,경기도,포천시,미트빌연합사업단,쇼핑,시장,6
322,경기도,포천시,한탄강금빛사과농원,체험관광,농/산/어촌체험,6
334,경기도,포천시,청수농원,체험관광,농/산/어촌체험,5
334,경기도,포천시,포천탁구클럽,레저스포츠,기타레저스포츠,5
334,경기도,포천시,원통사,역사관광,종교성지,5
334,경기도,포천시,아라리농장,체험관광,농/산/어촌체험,5
334,경기도,포천시,약사계곡,자연관광,자연경관(산),5
334,경기도,포천시,천의바람농장,체험관광,농/산/어촌체험,5
334,경기도,포천시,선단문화공원,문화관광,도시공원,5
334,경기도,포천시,서후농원,체험관광,농/산/어촌체험,5
334,경기도,포천시,산정호수수상보트장,레저스포츠,수상레저스포츠,5
334,경기도,포천시,상록포도농원,체험관광,농/산/어촌체험,5
334,경기도,포천시,지장사,역사관광,종교성지,5
334,경기도,포천시,가보리농원,체험관광,농/산/어촌체험,5
334,경기도,포천시,동음사,역사관광,역사유적지,5
347,경기도,포천시,포천정,레저스포츠,육상레저스포츠,4
347,경기도,포천시,여우뜰,체험관광,농/산/어촌체험,4
347,경기도,포천시,포천하늘사과원,체험관광,농/산/어촌체험,4
347,경기도,포천시,원앙목장,체험관광,농/산/어촌체험,4
347,경기도,포천시,밤밭실내장어낚시터,레저스포츠,수상레저스포츠,4
347,경기도,포천시,정우사과원,체험관광,농/산/어촌체험,4
347,경기도,포천시,수목원포도농원,체험관광,농/산/어촌체험,4
347,경기도,포천시,관룡사,역사관광,종교성지,4
347,경기도,포천시,영산사,역사관광,종교성지,4
347,경기도,포천시,무봉리족구장,레저스포츠,기타레저스포츠,4
347,경기도,포천시,블루밍팜,체험관광,농/산/어촌체험,4
347,경기도,포천시,황금빛농원,체험관광,농/산/어촌체험,4
347,경기도,포천시,달콤이포도밭집,체험관광,농/산/어촌체험,4
347,경기도,포천시,평화농원,체험관광,농/산/어촌체험,4
347,경기도,포천시,포천시어린이정원,문화관광,도시공원,4
347,경기도,포천시,화산서원,역사관광,역사유적지,4
347,경기도,포천시,마태사,역사관광,종교성지,4
347,경기도,포천시,베어스타운CC휴업,레저스포츠,육상레저스포츠,4
347,경기도,포천시,전계대원군묘,역사관광,역사유적지,4
347,경기도,포천시,해마루사과농원,체험관광,농/산/어촌체험,4
347,경기도,포천시,대군정,레저스포츠,육상레저스포츠,4
347,경기도,포천시,명성산산정호수방면,자연관광,자연경관(산),4
347,경기도,포천시,명성산자인사방면,자연관광,자연경관(산),4
347,경기도,포천시,왕방산왕방사방면,자연관광,자연경관(산),4
347,경기도,포천시,인흥군릉,역사관광,역사유적지,4
347,경기도,포천시,새마을저수지,자연관광,자연경관(하천/해양),4
347,경기도,포천시,허브식물박물관,문화관광,전시시설,4
347,경기도,포천시,운주사,역사관광,종교성지,4
347,경기도,포천시,옛뜰애관광농원,체험관광,농/산/어촌체험,4
347,경기도,포천시,보림사,역사관광,종교성지,4
347,경기도,포천시,우금소류지,자연관광,자연경관(하천/해양),4
347,경기도,포천시,관음사,역사관광,종교성지,4
347,경기도,포천시,애플빌리지,체험관광,농/산/어촌체험,4
347,경기도,포천시,노리파크포천일동점,문화관광,테마공원,4
347,경기도,포천시,문옥목장,체험관광,농/산/어촌체험,4
382,경기도,포천시,대박사과농원,체험관광,농/산/어촌체험,3
382,경기도,포천시,금당정사,역사관광,종교성지,3
382,경기도,포천시,보현사,역사관광,종교성지,3
382,경기도,포천시,아이예쁘지요농원,체험관광,농/산/어촌체험,3
382,경기도,포천시,산정호수명성산케이블카건축중(2026년 준공예정),기타관광,기타관광,3
382,경기도,포천시,송우농원,체험관광,농/산/어촌체험,3
382,경기도,포천시,잇빛천연염색체험학습장,체험관광,공예체험,3
382,경기도,포천시,마전저수지,자연관광,자연경관(하천/해양),3
382,경기도,포천시,하늘다리팜,체험관광,농/산/어촌체험,3
382,경기도,포천시,한탄강디지털체험관,문화관광,전시시설,3
382,경기도,포천시,새일목장,체험관광,농/산/어촌체험,3
382,경기도,포천시,어모릭스공방,체험관광,공예체험,3
382,경기도,포천시,김광우미술관,문화관광,전시시설,3
382,경기도,포천시,포천반월아트홀전시장,문화관광,전시시설,3
382,경기도,포천시,길명사,역사관광,역사유적지,3
382,경기도,포천시,돌모루포도농원,체험관광,농/산/어촌체험,3
382,경기도,포천시,초원농장,체험관광,농/산/어촌체험,3
382,경기도,포천시,각흘계곡,자연관광,자연경관(산),3
382,경기도,포천시,화봉사,역사관광,종교성지,3
382,경기도,포천시,운천공설시장,쇼핑,시장,3
382,경기도,포천시,밤밭지,자연관광,자연경관(하천/해양),3
382,경기도,포천시,청산버섯농장,체험관광,농/산/어촌체험,3
382,경기도,포천시,산정호수허브식물원,문화관광,테마공원,3
382,경기도,포천시,비즈아쿠아,문화관광,테마공원,3
382,경기도,포천시,방축1공원,문화관광,도시공원,3
382,경기도,포천시,호림2농원,체험관광,농/산/어촌체험,3
382,경기도,포천시,다산농산,체험관광,농/산/어촌체험,3
382,경기도,포천시,명산저수지,자연관광,자연경관(하천/해양),3
382,경기도,포천시,천인계곡유원지,문화관광,복합관광시설,3
382,경기도,포천시,포천사과농원,체험관광,농/산/어촌체험,3
382,경기도,포천시,제일푸드,쇼핑,시장,3
382,경기도,포천시,포천시 일동면 안변동산,문화관광,도시/지역문화관광,3
382,경기도,포천시,옥금수계곡,기타관광,기타관광,3
382,경기도,포천시,축석포도농원,체험관광,농/산/어촌체험,3
382,경기도,포천시,복길이네포도밭,체험관광,농/산/어촌체험,3
382,경기도,포천시,수아쿠아,문화관광,테마공원,3
382,경기도,포천시,서광사,역사관광,종교성지,3
382,경기도,포천시,김비서가왜그럴까촬영지,문화관광,기타문화관광지,3
382,경기도,포천시,은주네포도농원,체험관광,농/산/어촌체험,3
382,경기도,포천시,삼손목장,체험관광,농/산/어촌체험,3
382,경기도,포천시,도연암,역사관광,종교성지,3
382,경기도,포천시,순해목장,체험관광,농/산/어촌체험,3
